"","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","AREA_HA"
"1","MARIAN","Guam","GUA_ACHANG","Forereef","Mid",59.25
"2","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid",1027.25
"3","MARIAN","Guam","GUA_HARBOR","Forereef","Mid",38.29
"4","MARIAN","Guam","GUA_WEST_OPEN","Forereef","Mid",1035
"5","MARIAN","Guam","GUA_PATI_POINT","Forereef","Mid",159
"6","MARIAN","Guam","GUA_PITI_BOMB","Forereef","Mid",40.25
"7","MARIAN","Guam","GUA_SASA_BAY","Forereef","Mid",2.54
"8","MARIAN","Guam","GUA_TUMON","Forereef","Mid",71.75
"9","MARIAN","Pagan","Pagan","Forereef","Mid",492.5006185
"10","MARIAN","Saipan","Saipan","Forereef","Mid",1132.596536
"11","SAMOA","Tutuila","TUT_AUNUU_A","Forereef","Mid",151.55944
"12","SAMOA","Tutuila","TUT_FAGALUA","Forereef","Mid",27.717142
"13","NWHI","Kure","Kure","Forereef","Mid",1096.142722
"14","NWHI","Lisianski","Lisianski","Forereef","Mid",11054.46672
"15","PRIAs","Baker","Baker","Forereef","Mid",118.6325616
"16","PRIAs","Howland","Howland","Forereef","Mid",40.21083959
"17","PRIAs","Jarvis","Jarvis","Forereef","Mid",191.1130626
"18","PRIAs","Kingman","Kingman","Backreef","Mid",203.25
"19","PRIAs","Kingman","Kingman","Forereef","Mid",282.5
"20","PRIAs","Kingman","Kingman","Lagoon","Mid",74.75
"21","PRIAs","Palmyra","Palmyra","Forereef","Mid",1527.372655
"22","PRIAs","Wake","Wake","Forereef","Mid",102.2772869
"23","SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",85.3
"24","SAMOA","Swains","SWA_OPEN","Forereef","Mid",15.6128307
"25","SAMOA","Swains","SWA_SANCTUARY","Forereef","Mid",41.80811022
"26","SAMOA","Tau","TAU_OPEN","Forereef","Mid",494.905
"27","SAMOA","Tau","TAU_SANCTUARY","Forereef","Mid",71.735
"28","SAMOA","Tutuila","TUT_AUNUU_B","Forereef","Mid",40.8
"29","SAMOA","Tutuila","TUT_FAGATELE","Forereef","Mid",20.2
"30","SAMOA","Tutuila","TUT_NE_OPEN","Forereef","Mid",425
"31","SAMOA","Tutuila","TUT_NW_OPEN","Forereef","Mid",220.3
"32","SAMOA","Tutuila","TUT_PAGOPAGO","Forereef","Mid",29.4
"33","SAMOA","Tutuila","TUT_SE_OPEN","Forereef","Mid",659.5
"34","SAMOA","Tutuila","TUT_SW_OPEN","Forereef","Mid",227.5
